title,url,heightCm,weightKg,weightLb,priceUsd,isPartialBody
"150cm (4ft11) E-Cup Silicone Sex Doll Mabel, Head #M10",https://www.yourdoll.com/product/sex-doll-mdd003/,150,27,60,2499,false
"150cm (4ft11) E-Cup Silicone Sex Doll Letitia, Head #M9",https://www.yourdoll.com/product/sex-doll-mdd013/,150,27,60,2499,false
"150cm (4ft11) E-Cup Silicone Sex Doll Tina, Head #M5, ROS Available",https://www.yourdoll.com/product/sex-doll-mdd010/,150,27,60,2499,false
"150cm (4ft11) E-Cup Silicone Sex Doll Celine, Head #M15, ROS Available",https://www.yourdoll.com/product/sex-doll-mdd006/,150,27,60,2499,false
"150cm (4ft11) E-Cup Elf Silicone Sex Doll Sophia, Head #M24, ROS Available",https://www.yourdoll.com/product/sex-doll-mdd002/,150,27,60,2499,false
"160cm (5ft3)  C-Cup Full Silicone Sex Doll, Movable Jaw Head, Sorelle",https://www.yourdoll.com/product/sex-doll-mvd010/,160,38.5,85,2699,false
"160cm (5ft3)  C-Cup Full Silicone Sex Doll, Movable Jaw Head, Sorelle#-1",https://www.yourdoll.com/product/sex-doll-mvd009/,160,38.5,85,2699,false
"160cm (5ft3)  C-Cup Full Silicone Sex Doll, Movable Jaw Head, Sorelle",https://www.yourdoll.com/product/sex-doll-mvd008/,160,38.5,85,2699,false
"150cm (4ft11) Silicone Sex Doll Alara, ROS Max Head R11",https://www.yourdoll.com/product/sex-doll-rld091/,150,27.6,61,2866,false
"150cm (4ft11) Silicone Sex Doll Viki, ROS Max Head R10",https://www.yourdoll.com/product/sex-doll-rld075/,150,27.6,61,2866,false
"150cm (4ft11) Silicone Sex Doll Alara, ROS Max Head R11",https://www.yourdoll.com/product/sex-doll-rld065/,150,27.6,61,2866,false
